"评论编号","评论用户","评论微博","评论内容"
"1511","无畏江湖_小新_612","696","服从命令，听从指挥！"
"1512","天下最美贡格尔","696","我弟弟当了26年的边防警察了"
"1513","大吉利豆豆","696","转警后士兵和士官有编制吗？"
"1514","菏泽巨野县法院","696","转警后士兵和士官有编制吗？"
"1515","王琳暄","696","转警后士兵和士官有编制吗？"
"1516","愚猫","696","当兵是好兵，保家卫国，当警察是好警察，保护人民"
"1517","盈--长成一棵树吧","697","刚看了电影《拉贝日记》，再翻到这个视频，哭了"
"1518","间卜_96617","697","希望更多学生能保持一颗赤子之心，很不错。"
"1519","杜清眸","697","希望更多学生能保持一颗赤子之心，很不错。"
"1520","中弹的樱花","697","像个神经病一样 每次听到这歌都哭……"
"1521","幻影车神6273629447","697","青春洋溢，热血沸腾。"
"1522","坚强的风雷","697","传承发扬革命精神！力争科技领先世界"
"1523","猫_老_板","698","暗示2018的黑天鹅"
"1524","彭志明----08705","699","阳光重庆，劳动生产工人是贪污受贿的犯罪主体？民间道德法庭裁判员工人贪官。"
"1525","你说我是个神经病","702","阳光重庆，劳动生产工人是贪污受贿的犯罪主体？民间道德法庭裁判员工人贪官。"
"1526","风口榜中榜","702","大数据杀熟真的是企业良心坏坏了，不好好做企业做服务  想尽办法骗钱  跟骗子有什么区别。"
"1527","一名比较优秀的男同学","702","大数据杀熟真的是企业良心坏坏了，不好好做企业做服务  想尽办法骗钱  跟骗子有什么区别。"
"1528","菏泽巨野县法院","702","大数据杀熟真的是企业良心坏坏了，不好好做企业做服务  想尽办法骗钱  跟骗子有什么区别。"
"1529","随便起的也被占","702","杀熟是什么？"
"1530","夜未央tal","702","有法可依了，希望能监管执行到位"
"1531","面朝大海20120419","705","有法可依了，希望能监管执行到位"
"1532","快叫我大哥_","705","有法可依了，希望能监管执行到位"
"1533","江离熙梓","705","有法可依了，希望能监管执行到位"
"1534","薇薇安小小姐啊","707","做壁纸是极好的"
"1535","老字号余江眼镜","707","风生水起2019"
"1536","该用户没有昵称没有昵称没有昵称","707","你好，一月"
"1537","不哭6455624062","707","新年新气象！"
"1538","青丝乱_Vernal","707","嘻嘻，我又有壁纸了呢。"
"1539","超话社区","707","嘻嘻，我又有壁纸了呢。"
"1540","流月诗社2011","708","嘻嘻，我又有壁纸了呢。"
"1541","尼玛的社会","708","互相友爱。"
"1542","尼玛的社会","708","互相友爱。"
"1543","敲栗来来","715","互相友爱。"
"1544","我是王小猫猫","715","我小学四年级的时候，下冰雪后上冻了，我们划冰车上学半个月，好过瘾，作标辽宁铁岭"
"1545","通化市出入境","715","我小学四年级的时候，下冰雪后上冻了，我们划冰车上学半个月，好过瘾，作标辽宁铁岭"
"1546","s-arrow","715","哈哈哈"
"1547","花落满城i","715","哈哈哈"
"1548","小米之家西安旗舰店","717","加油！"
"1549","特安谭的谭","717","好激动，主席.特别提到了我的名字：贫困人口"
"1550","节操可以吗","717","祖国万岁，建立更全面的司法程序。"
"1551","枫言丰羽","717","转发微博"
"1552","润州检察","717","转发微博"
"1553","二二酱麻麻三","717","2019愿你我被世界温柔以待！"
"1554","七彩鱼328","717","祖国，万岁，硬起来。"
"1555","月牙儿与阳2935864913","717","厉害厉害"
"1556","-ArtDeco收集-","717","大大万岁"
"1557","TWBB201809","717","一家人刚刚从中央13套看完"
"1558","春斐私语","722","花9700在中国黄金买了个镯子，回家一称只有15克，发现自己被坑了，亲身经历，分享一下但愿少一些上当受骗的人，尤其不要买3D硬金，父亲一个月挣2000多块用半年的血汗钱送了我一个陪嫁饰品，结果被金店就这样给坑了，天价黄金625一克，，投诉无门"
"1559","菏泽巨野县法院","722","花9700在中国黄金买了个镯子，回家一称只有15克，发现自己被坑了，亲身经历，分享一下但愿少一些上当受骗的人，尤其不要买3D硬金，父亲一个月挣2000多块用半年的血汗钱送了我一个陪嫁饰品，结果被金店就这样给坑了，天价黄金625一克，，投诉无门"
"1560","为菲翔努力","722","公平正义你我来维护！"
"1561","也许就要简单","722","既然改变不了社会大环境，就从改变自身做起，如果每个人心里都渴望公平正义，每个人都热爱生活，每个人都能染发善良，伸张正义，那么社会也随之改变。"
"1562","杜任杰98","724","既然改变不了社会大环境，就从改变自身做起，如果每个人心里都渴望公平正义，每个人都热爱生活，每个人都能染发善良，伸张正义，那么社会也随之改变。"
"1563","安康利利","724","老师太宽容学生了"
"1564","秋雨姑娘-","724","老师太宽容学生了"
"1565","阿狸哩哩哩喵","724","老师太宽容学生了"
"1566","扎针狂魔吕护士","724","老师太宽容学生了"
"1567","道理不深言语多","724","老师太宽容学生了"
"1568","美肥她妈_809","724","这也能50分？老师真是 宽容"
"1569","小芋头_喵","724","这也能50分？老师真是 宽容"
"1570","减肥成功的东东","724","答错真的是拯救不了了"
"1571","ZHIZIZHIJIA","724","答错真的是拯救不了了"
"1572","草木青阳","726","2019，监管更严，办事更方便，百姓得到更多的实惠。"
"1573","东方炑2019","726","实用"
"1574","____与我常在","726","。"
"1575","求真先生说","729","该收回来了。"
"1576","决胜执行难","729","该收回来了。"
"1577","欢喜雲里雾里","732","我劳动的部门是至少第三手承包商，工作时间以外的事统统不管，工资不包吃住7000元以上交税是可以的，但是随时都可能会失业，该如何是好？"
"1578","北仑司法","734","我劳动的部门是至少第三手承包商，工作时间以外的事统统不管，工资不包吃住7000元以上交税是可以的，但是随时都可能会失业，该如何是好？"
"1579","青岛市妇女儿童医院","734","我劳动的部门是至少第三手承包商，工作时间以外的事统统不管，工资不包吃住7000元以上交税是可以的，但是随时都可能会失业，该如何是好？"
"1580","决胜执行难","734","我劳动的部门是至少第三手承包商，工作时间以外的事统统不管，工资不包吃住7000元以上交税是可以的，但是随时都可能会失业，该如何是好？"
"1581","Moxi墨兮丶","734","我劳动的部门是至少第三手承包商，工作时间以外的事统统不管，工资不包吃住7000元以上交税是可以的，但是随时都可能会失业，该如何是好？"
"1582","仇官怜弱","734","这法那法，就是政府没法。"
"1583","baixue5757飘飘","734","转发微博"
"1584","乐娃妈","734","执法观念没到位，可行性低，一些隐性家暴被和稀泥！"
"1585","极客空间站","734","执法观念没到位，可行性低，一些隐性家暴被和稀泥！"
"1586","中外英雄武林风-创始人马云龙","734","执法观念没到位，可行性低，一些隐性家暴被和稀泥！"
"1587","栖迟温良","734","高标准立法，选择性执法"
"1588","接枪的水手长","735","新发地派出所颠倒黑白，恐吓，他们可以做到什么地步？让我变成精神病，还是死人"
"1589","衡阳蒸湘公安","735","早安"
"1590","宣城公安在线","735","早"
"1591","北方以北的羊","735","早"
"1592","MariaMucha","736","关注全国金融诈骗：1.政府互联网金融改革，银监会站台监管缺失诈骗泛滥，网贷十条不落实。 2.股东自融诈骗坑骗出借人血汗钱！地方官商勾结不追责不公布资金流向。 3.人民拿血汗钱通过平台出借中小企业响应政府政策，合法借贷非投资项目。4.官媒宣传P2P金融，爆雷不提股东、平台诈骗，宣传、监管责任。"
"1593","_SoloTu_","736","十二月马上结束了"
"1594","魂牽夢縈到本世紀末","741","讲真，我现在出门没带过钱，就一手机"
"1595","机器人118号","741","做什么假不好，做假币，还才变现2w而已……做假鞋啥的卖淘宝现在分分钟几十万了好吧"
"1596","卞修全","741","做什么假不好，做假币，还才变现2w而已……做假鞋啥的卖淘宝现在分分钟几十万了好吧"
"1597","嘣豆n","741","这个多了会死刑吧"
"1598","HongKong与Kowloon","741","这个多了会死刑吧"
"1599","學同明黎","741","现实版无双?"
"1600","夕阳下的眺望者","741","现实版无双?"
"1601","不哭不闹不悲伤H","741","好大的[狗] 胆！！！！！！！流入市场还不天下大乱了。"
"1602","小白兔espresso","741","好大的[狗] 胆！！！！！！！流入市场还不天下大乱了。"
"1603","草原狼世界","741","法网恢恢。"
"1604","MariaMucha","742","关注全国金融诈骗：1.政府互联网金融改革，银监会站台监管缺失诈骗泛滥，网贷十条不落实。 2.股东自融诈骗坑骗出借人血汗钱！地方官商勾结不追责不公布资金流向。 3.人民拿血汗钱通过平台出借中小企业响应政府政策，合法借贷非投资项目。4.官媒宣传P2P金融，爆雷不提股东、平台诈骗，宣传、监管责任。"
"1605","涟江闲散人","742","三地被处罚，很好。别拿体育比赛开玩笑。"
"1606","锡山子锐","742","在比赛过程中拉拽运动员应该定性为犯罪行为，因为拉拽奔跑中的运动员可能会导致运动员严重身体伤害甚至丧命，应该追究其刑事责任，应该要罚款和拘留。"
"1607","天平386","745","法定周期及时验车。"
"1608","菏泽巨野县法院","745","法定周期及时验车。"
"1609","Tino诺","745","这些乱传的谣言到底从哪里传出来的，真该好好管管了"
"1610","JACKSON为了生活FIGHTING","746","这些乱传的谣言到底从哪里传出来的，真该好好管管了"
"1611","海幸山幸snoopy","746","那个honey过分了啊！"
"1612","大喜大亨","746","O(∩_∩)O哈哈~"
"1613","房子漏雨吗","746","投毒谋杀政治迫害，实名举报青岛赖昌星販卖假烟集团十多年未果，被打砸抢烧破门入室盜毁家财，射钉枪作案，公安私底撤销纵火案，在青岛一幼儿园被官方所派保安茶杯投毒，家中蜂蜜止咳糖浆都被倒入毒物，我自学考试成绩被黑掉，诗歌被屏蔽幕后黑手党豢养了无以计数的黑恶势力，以维稳国家名义行一己之私"
"1614","考拉余周周","746","投毒谋杀政治迫害，实名举报青岛赖昌星販卖假烟集团十多年未果，被打砸抢烧破门入室盜毁家财，射钉枪作案，公安私底撤销纵火案，在青岛一幼儿园被官方所派保安茶杯投毒，家中蜂蜜止咳糖浆都被倒入毒物，我自学考试成绩被黑掉，诗歌被屏蔽幕后黑手党豢养了无以计数的黑恶势力，以维稳国家名义行一己之私"
"1615","TN诺宝","747","清明，端午，中秋！周五周六周日！完美"
"1616","JING随心动","747","清明，端午，中秋！周五周六周日！完美"
"1617","hi92972","749","致敬！"
"1618","伍医生57651","749","好好好好好好好好好好好好好好"
"1619","爱果者006","749","另外，真的很高兴他能平安回家，电影里本来可以走却留下执行任务的一般都……"
"1620","我在上琴桥","749","另外，真的很高兴他能平安回家，电影里本来可以走却留下执行任务的一般都……"
"1621","爱果者006","749","为什么不可以做久一点，经验丰富，伤亡会少好多，还可以传帮带"
"1622","凶残狂暴的小白兔","749","20岁就退役啦"
"1623","长夜未央佳人入怀","752","可爱的毛不易哈哈哈哈，对，其实我也是听了《消愁》才看的明日之子，他是冠军我也激动啊啊啊啊啊…收声。一个路人粉的开心[大笑]"
"1624","恋forever阿彬","752","可爱的毛不易哈哈哈哈，对，其实我也是听了《消愁》才看的明日之子，他是冠军我也激动啊啊啊啊啊…收声。一个路人粉的开心[大笑]"
"1625","成都市荷塘花邨养老院求救","752","可爱的毛不易哈哈哈哈，对，其实我也是听了《消愁》才看的明日之子，他是冠军我也激动啊啊啊啊啊…收声。一个路人粉的开心[大笑]"
"1626","扎针狂魔吕护士","754","可爱的毛不易哈哈哈哈，对，其实我也是听了《消愁》才看的明日之子，他是冠军我也激动啊啊啊啊啊…收声。一个路人粉的开心[大笑]"
"1627","伟大的兔子3","754","这个还不够沙雕，往后稍稍。"
"1628","糖醋小驴","754","这个还不够沙雕，往后稍稍。"
"1629","蔚蓝天空_200201","754","转发微博"
"1630","w_文轩1","755","转发微博"
"1631","有-恃_无-恐","758","转发微博"
"1632","有-恃_无-恐","758","转发微博"
"1633","有-恃_无-恐","758","#斐"
"1634","北仑司法","758","#斐"
"1635","铁路东村司法所","758","转发微博"
"1636","上海wq","758","转发微博"
"1637","正义之吻br","759","求个微信？"
"1638","刘-海-坤","759","求个微信？"
"1639","雪影舞清辉","759","看着都觉惭愧"
"1640","倒霉赞联盟","760","说的不错"
"1641","谦谦卑以自牧","760","说的不错"
"1642","天地无限001","760","一本正经胡说八道！！"
"1643","春妮8889","760","让你不要成为那样的人！"
"1644","邓宇杰的围脖","760","让你不要成为那样的人！"
"1645","李晓东一个人挺好","760","Bullllllllshit!"
"1646","Whisperinglily","760","Bullllllllshit!"
"1647","蔚蓝天空_200201","760","太经典了!"
"1648","抗敌龙卷风V5","762","完了，我家庭支出和收入十年内刚好相等"
"1649","晓宇其宇","762","完了，我家庭支出和收入十年内刚好相等"
"1650","仝兆攀","763","完了，我家庭支出和收入十年内刚好相等"
"1651","c荣子","763","都知道吸烟有害健康，对人对己都不好，为什么还要吸哪？真的不理解！"
"1652","卞修全","763","都知道吸烟有害健康，对人对己都不好，为什么还要吸哪？真的不理解！"
"1653","jerry-kwong","763","都知道吸烟有害健康，对人对己都不好，为什么还要吸哪？真的不理解！"
"1654","翻书比翻脸还快","763","发粪涂墙"
"1655","安安静静地卖土豆","763","发粪涂墙"
"1656","吾爱归零独钓寒江","763","一泡屎引发的悲剧"
"1657","Gerad-O皿o","763","一泡屎引发的悲剧"
"1658","老虎弯的尕娃","763","吸烟有害健康"
"1659","蜀黍是破喉咙","763","自由飞翔"
"1660","厚皮兔的碎碎念","767","自由飞翔"
"1661","HongKong与Kowloon","767","自由飞翔"
"1662","何以笙箫驀","767","成都有没有暖气？"
"1663","心态觉定以切","767","最后一个打码，什么意思？"
"1664","雅姿与欢","767","最后一个打码，什么意思？"
"1665","苏菲的魔咒","767","最后一个隐藏了塑料袋的内裤和凶兆"
"1666","Mao爱大腐","767","最后一个隐藏了塑料袋的内裤和凶兆"
"1667","常同学哟","767","最后一个隐藏了塑料袋的内裤和凶兆"
"1668","老管回来了","767","最后一个隐藏了塑料袋的内裤和凶兆"
"1669","一斤小丸子","768","真的挺好的归宿 不用判死刑 留了条狗命 还落叶归根了"
"1670","HongKong与Kowloon","768","真的挺好的归宿 不用判死刑 留了条狗命 还落叶归根了"
"1671","往事无痕随风去","768","钱花完回来了"
"1672","颖哲天下","768","在外面花完钱了记得回来啊，祖国永远是你坚强的后盾"
"1673","辉辉司机","768","祖国想你了，你的归来是政府最大的支持。"
"1674","叁轮车你过来","768","回来还得养着他看着他，应该直接喂狗"
"1675","嘿我媳妇真萌","769","不买会员了"
"1676","Prickly栗子","769","好惨"
"1677","津井鹤","769","好惨"
"1678","LsexE","769","支持快播"
"1679","伟大的等待","769","还买会员吗？"
"1680","津井鹤","769","还买会员吗？"
"1681","决胜执行难","769","还买会员吗？"
"1682","可爱老鼠吃老虎","770","停职！就是先带薪休假，躲过了这波风头在复职。"
"1683","Nooneq","770","有人坏了规矩"
"1684","易园鹤卿","770","天天吵着高考让大学自主招生，一个研究生招生半放权状态都弄成这样，要是高考肯定乱了。"
"1685","無誖","770","。。。。。。 西大还是很好的好吧，要别的学校就压下去了"
"1686","象牙塔梦","770","试题可是有“机密”标识的，考生作弊是入刑的，泄题该怎么办呢"
"1687","余行不迷","770","为什么不枪毙"
"1688","改名儿改个好运气","770","请坐牢"
"1689","麦克斯违心","770","李洪军杨庆袁治下无力?"
"1690","哎呦甜梦梦","770","这就叫做:泄露国家机密罪"
"1691","hds1234","770","转发微博"
"1692","穷人家的-少爷","772","祝福他们"
"1693","ALWAYSBODACIOUS","773","[加油]"
"1694","赶着马车去北京卍卐卍卐","773","[加油]"
"1695","崔修平丶","773","966"
"1696","创客公考晋升老师","776","长生疫苗案催生新法落地，对于规范疫苗生产管理确保人民生命健康将起到重要作用。但是，我们要反思能在出事前立法?不要总在人们付出生命代价后才立法。这就需要各级立法机关及相关职能部门加强调研，增强前瞻性，根据经济社会发展，及时立改废，真正做到与时俱进!"
"1697","孙明星卐","776","出事罚酒三口，再好的方案也它马摆设"
"1698","涟江闲散人","777","若试剂有危险，剂量该控多少，谁在现场管控。那房间所有危险品乘放总量该多少，多余的该按程序咋办。若不说清楚，还是糊涂账。若该试验有危险，旁边的专业人士为何不在，事发时指导老师呢在哪。静待结果出来。"
"1699","无畏江湖_小新_612","780","安全第一！"
"1700","菏泽巨野县法院","780","安全第一！"
"1701","守护我的梦郭世意海","780","又是煤矿"
"1702","江右丘晓","780","我预测下事故原因，切眼作业打通了老采空区，引发透水，死亡的5名在采空区附近未能撤离，被困的那名离采空区还有一段水平距离 。"
"1703","刘德想微博","780","安全第一"
"1704","吃孩子的小怪兽YJJ","780","生活不容易"
"1705","酒窝里藏着糖","780","生活不容易"
"1706","倔猴爱上幽默羊","781","这是考验交警呢？[哈哈][哈哈][哈哈][哈哈]"
"1707","明距_","781","哈哈哈，沙雕"
"1708","这世界从不欣赏眼泪______陈学文","781","不错！！！喝酒开车去交警队处理违停再多一次处罚"
"1709","李小刀TD","781","看这推送，四川最近有点膨胀啊"
"1710","吾子甚良为父不若","781","才年初，就开始沙雕们就开始冲业绩了吗？"
"1711","耿岩Gy","782","不想好了"
"1712","夏男儿自强真名夏春平","782","不想好了"
"1713","夏男儿自强真名夏春平","782","法律的公正，棒。"
"1714","老马我的名字想好没","782","法律的公正，棒。"
"1715","巧然","782","处罚太轻。"
"1716","熱情淡le吧","782","为啥子不打10086[疑问][疑问][疑问]"
"1717","蓝鲸市关爱迪丽热巴办公室","782","现在信息管制真那么严了？公安微博都要采用运营冷饭的模式？[笑cry]"
"1718","蓝鲸市关爱迪丽热巴办公室","782","旧闻又发[吃瓜]"
"1719","迎春1105","783","爱情[相爱]让你酒驾了吗？这能给酒驾找借口"
"1720","爷俩儿好","783","这个理由能让姑娘回心转意吗？"
"1721","Jhonny41","783","原因合理，然而无法作为酒驾的借口"
"1722","大石盘吴彦祖","783","因为爱情   不会轻易悲伤"
"1723","拈花擒拿手","783","杀人放火酒驾都拿“爱情”说事儿…男的真脆弱[挖鼻]"
"1724","保护我方小木偶","783","不会轻易悲伤。只会悲伤酒驾[喵喵]"
"1725","八戒丶想回高老庄","783","这个就是爱情！"
"1726","仓老师我不认识","783","你为什么可以发语音？？？"
"1727","吃瓜三郎","784","做好本职工作哦"
"1728","蓝鲸市关爱迪丽热巴办公室","784","每年都有诸如此类的时期，成了所有人都心里难受的时间区间。我就纳闷了，就如人家独立宣言里说的，能忍的人民都忍了。这还是他域的立国文书。"
"1729","我是树袋熊yy","786","阿卡土鳖公主收也不行啊[摊手][摊手]"
"1730","小疯子鼻子不透气","786","迪拜的王子瞎了心了买粮票？不如买几个中华田园女拳回去做。。。"
"1731","山山山麻子","786","都9102年了，还信这种骗术"
"1732","阿里八八九九","786","我，王子，打钱"
"1733","冬眠后","786","各个写字楼里，都有这种公司。[doge]"
"1734","警察李所当然","786","防骗，就先别贪心！"
"1735","王买买提","786","我，清朝[公主][doge]"
"1736","奇妙女孩Rainbow","787","震惊！王子不买期货买粮票了！拿什么拯救你 “变傻的王子”？"
"1737","大名鼎鼎的李阿姨","787","这不是我公司附近么"
"1738","儿童节的小河马","787","能有点儿脑子吗……"
"1739","洛阳-时光飞逝","787","能有点儿脑子吗……"
"1740","京西-演然","787","被骗的人都是贪心惹的祸！"
"1741","我为小猫狂","787","迪拜王子知道啥叫粮票吗？听说中东产石油，要说收购油票还有点可信度[doge]"
"1742","关山城","787","问题是这些个上当受骗的都是层出不穷，还不是不劳而获想占便宜。许多人被骗也是活该。"
"1743","爱过你真的很快乐","787","第一"
"1744","龙家喵叔","788","教育的好啊！孩子也聪明！"
"1745","合唱团hcy","788","教育的好啊！孩子也聪明！"
"1746","宇飞来夜娱","788","这都是一周前的新闻了怎么又放出来？"
"1747","韩哲-帮寻人","788","给小朋友点赞[赞]。也给大人提醒。遇见这类事情。一定要沉着冷静。才可以得救。不过也给小区物业提醒。加强电梯的维护，检查。保养。最主要"
"1748","粟原二似萍","788","←←←[心]污wu漫【老师真棒】[鲜花][鲜花]… … …深的着的个人后来我们才知道那不白宜音素沛赞怀枝"
"1749","传说中的女网警","788","←←←[心]污wu漫【老师真棒】[鲜花][鲜花]… … …深的着的个人后来我们才知道那不白宜音素沛赞怀枝"
"1750","风是自然的箫声","788","少年不识愁滋味，再上层楼再上层楼[允悲]"
"1751","1红鲤鱼与绿鲤鱼与你","788","没有说按每一个楼层的按钮到底对不对，遇到这样的问题可以这样操作吗（我知道要尽快报警）"
"1752","lq333visa","788","按那么多没用，门锁的问题"
"1753","考拉爱上树7521","788","现在都是刷卡，居民区的按也没用"
"1754","倔強五月__最後的溫柔","788","电梯可以全部按亮的吗，小区最多只能同时亮四个是什么鬼"
"1755","暧_今已亭亭如盖","788","父母和老师平时教育的好好，点赞"
"1756","天棒锤的AD饲养员","788","家长和老师的安全教育很不错！"
"1757","起航啷个嗨","788","教科书式"
"1758","南沙群岛WJG","789","向伟大而光荣的人民警察致敬！"
"1759","夙暖er","789","被感动了，想哭唉（年纪大了泪点低[悲伤]）"
"1760","丢丢_猫","789","小时候想当警察[列车员]，刑警，惩恶扬善那种。。。现在知道当不了，因为暂时不能惩恶扬善时，我的忍耐力不够，很压抑很难过。"
"1761","心平天晴","789","北京警察现在挺忙吧，管的那么多[喵喵]"
"1762","-居老师的小朋友-","789","这个版本也好好听！"
"1763","李妮儿958","789","在家里，你是普通、平凡的儿子、丈夫、父亲，在外面，你是英勇、威武的人民守护者，致敬平凡而又伟大的你们！"
"1764","VIP靓点","789","想说点什么，却不能说………略懂略懂"
"1765","杨小鱼1357297181","789","都这么隐晦吗？"
"1766","DangerousMrJ","789","感谢平安北京的小编，我知道你想表达的是什么意思[悲伤]"
"1767","DangerousMrJ","789","警察就是照进城市的光，不论角落多黑暗，都改变不了本质！"
"1768","蓝鲸市关爱迪丽热巴办公室","789","警察就是照进城市的光，不论角落多黑暗，都改变不了本质！"
"1769","海边的天空","789","警察就是照进城市的光，不论角落多黑暗，都改变不了本质！"
"1770","蓝鲸市关爱迪丽热巴办公室","789","警察就是照进城市的光，不论角落多黑暗，都改变不了本质！"
"1771","海边的天空","789","警察就是照进城市的光，不论角落多黑暗，都改变不了本质！"
"1772","地瓜熊兵","789","？？？？什么玩意？？？"
"1773","蓝鲸市关爱迪丽热巴办公室","789","？？？？什么玩意？？？"
"1774","海边的天空","789","？？？？什么玩意？？？"
"1775","蓝鲸市关爱迪丽热巴办公室","789","？？？？什么玩意？？？"
"1776","海边的天空","789","？？？？什么玩意？？？"
"1777","蓝鲸市关爱迪丽热巴办公室","789","？？？？什么玩意？？？"
"1778","袋鼠蛋卷花","789","正能量的歌曲[加油][加油]传播正能量[赞][赞]"
"1779","海边的天空","789","怕是没有看过便衣警察[白眼]"
"1780","小喃喃","789","皮下，你忘记换号了吧[允悲]"
"1781","小屎笑哈哈","789","[米奇比心][米奇比心][米奇比心]"
"1782","初心不变__X","789","[心]"
"1783","自己长大的小恶魔","789","[给你小心心][给你小心心][给你小心心]"
"1784","居一龙的小火锅呀","789","[心][心][心]"
"1785","汞饺子E","789","？？？还以为看错id了[羞嗒嗒]"
"1786","潇洒哥哥Lucky","789","有点好听！[doge]"
"1787","海南警方","789","警察就是照进这个城市的光，不管多黑暗的角落，都改变不了本质！为13…遍点赞。"
"1788","葛小十","789","官微也是小笼包？[允悲][允悲][允悲]"
"1789","微山湖红尘客栈","790","[蜡烛][蜡烛][蜡烛][祈祷][祈祷][祈祷]"
"1790","Yeol_Chinnnnn","790","[蜡烛][蜡烛][蜡烛]"
"1791","七紛所谓","790","警察不是刀枪不入，请大家多一分理解，为英雄默哀！"
"1792","来自喵星球的球小喵","790","警察不是刀枪不入，请大家多一分理解，为英雄默哀！"
"1793","用户征程","790","警察不是刀枪不入，请大家多一分理解，为英雄默哀！"
"1794","晕想衣裳本尊","790","还有半个月就过大年了呢……[泪]"
"1795","厨子不看菜谱","790","踏征程"
"1796","尼奥特拉_绝对","790","拘捕就应该击毙，保护警察才能保护人民"
"1797","佩娣小姐","790","英雄一路走好[祈祷]"
"1798","人民警卫police","790","英雄一路走好[蜡烛][蜡烛][蜡烛][蜡烛][蜡烛]"
"1799","写作cincin读作亲亲","790","[蜡烛][蜡烛][蜡烛][鲜花][鲜花][鲜花]"
"1800","米高23","790","英雄一路走好"
"1801","河北老五吃大蒜辣着了","790","唉，又有一家人过不好年了。[蜡烛][蜡烛][蜡烛]"
"1802","舟山定海","790","[蜡烛][蜡烛][蜡烛]英雄走好！"
"1803","hello-maor","790","一路走好"
"1804","日常恐婚恐育想恋爱","790","一路走好"
"1805","一个粗人_","790","[蜡烛][蜡烛][蜡烛]"
"1806","吃货小跟班77","790","[蜡烛][蜡烛][蜡烛]"
"1807","有时也会醉","790","[蜡烛]"
"1808","墨香铜臭你养的蛊漏了","790","[泪][泪][蜡烛]"
"1809","盐白茶pss","790","[蜡烛]"
"1810","Nicole夜","791","[热评]四平公安的小视频都可好玩儿了"
"1811","目瞪狗呆望着天空","791","[热评]彪啊"
"1812","帐墨可荀","791","[热评]警察蜀黍也太可爱了吧"
"1813","Woody笛儿","791","[热评]警察蜀黍也太可爱了吧"
"1814","瓜尔佳娇娇娇","791","[热评]警察蜀黍也太可爱了吧"
"1815","帅杨儿19870715","791","小鸡不尿尿 各有各的道 三百六十行 行行有门道"
"1816","天子脚下一草民","791","真像那帮人[哈哈][Aloha][Aloha][Aloha]"
"1817","朝夕与茉莉","791","真逗"
"1818","天棒锤的AD饲养员","791","笑死了……"
"1819","TAKUYO小畅","791","黄牛的票都是正路来的么？都实名制上车了，火车票还能倒卖么？"
"1820","爱Mayday的刘小胖","791","我二龙湖浩哥又又又又又又一次被董叔抓进去了[笑cry][笑cry][笑cry]不长记性"
"1821","月亮明亮2012","791","[哈哈][哈哈]说的没错，警察也要回家，走着回去啊[允悲][允悲][允悲]"
"1822","大花狗920123","791","很喜欢这几个人的表演，寓教于乐！不错！"
"1823","我爱的他叫炎亚纶","791","拍的真好"
"1824","牛人赵大","791","不跟郭德钢真是可惜了[坏笑]"
"1825","信仰仰仰仰仰仰仰仰","791","不跟郭德钢真是可惜了[坏笑]"
"1826","Mark的妞","791","[笑cry][笑cry][笑cry]"
"1827","郑奕zzy","791","哈哈哈太逗了"
"1828","一杯凍開水","791","哈哈哈太逗了"
"1829","海景房前的门窗","791","字幕有错误：“老百姓回家卖票不容易”"
"1830","李振桐0128","791","哈哈哈哈哈哈哈"
"1831","花卷儿不是馒头包子","791","现在还有票贩子？怎么倒腾啊？怎么做到实名制？"
"1832","于长泽y","791","现在还有票贩子？怎么倒腾啊？怎么做到实名制？"
"1833","越辽越爱","791","张道长：尊重一下我的职业叫我黄牛。吴政委：我看你像唬。[允悲][允悲][允悲][允悲][允悲]这哥俩要是这么一直犯罪下午，估计俩人要被判一千多年了。"
"1834","皇城根下的懒散闲人","791","蜀黍的第二职业是段子手"
"1835","亥姆霍兹动次打次","791","蜀黍的第二职业是段子手"
"1836","果狐186","791","哈哈哈哈，请问这样儿事的票贩子哪里找？我就缺个房了能给不？[笑cry][笑cry][笑cry]请问多买几张包媳妇给8折不？[笑cry][笑cry][笑cry]"
"1837","Woody笛儿","791","哈哈哈哈，请问这样儿事的票贩子哪里找？我就缺个房了能给不？[笑cry][笑cry][笑cry]请问多买几张包媳妇给8折不？[笑cry][笑cry][笑cry]"
"1838","一杯凍開水","791","一堆外资企业的抗日胜利！你看外面的筑巢引凤，玩具吸引农村搞笑，吃饱喝足赚够投资环节就无形之刃做手脚倒闭循环的啦！便面缺钱内里缺订单外里缺资源！国营鹿鼎公戏命师都需要治疗！别人一堆沙子都能现金！你有房子都不好销售啦！做好你的下一集剧情交接吧！不要傻傻的在那里至尊僵尸唱戏给给鬼听！"
"1839","迈特夜凯","791","这不浩哥吗[笑cry]"
"1840","kikyooops","791","哈哈哈哈哈演技派了！里面那个虎虎的主角好像宋小宝"
"1841","Nicole夜","791","四平公安的小视频都可好玩儿了"
"1842","左边的朝圣者","791","这不是四平高铁站嘛"
"1843","目瞪狗呆望着天空","791","彪啊"
"1844","帐墨可荀","791","警察蜀黍也太可爱了吧"
"1845","Kirlangic58小强","791","哈哈"
"1846","yefan_abcd","792","[热评]走应急车道不扣分了？"
"1847","我有n个空箱子","792","[热评]G7箭亭桥附近天天有走紧急车道的，你们敢来差吗？"
"1848","天天在家hhht","792","[热评]这些缺德玩意儿"
"1849","墨墨老师说要coding到世界末日","792","占应急车道不是要6分吗?怎么就罚200..."
